2255			2343.45	2254.7			2331.05				13001005			
2239			2244.8	2211.1			2234.7				8678073			
2245			2256.5	2237			2248				5804018			
2217.5			2254	2200.2			2237.55				6486068			
2245.25			2250	2198			2203.3				5711497			
2268			2269.9	2243.05			2247.8				7499082			
2285			2291.45	2270			2276.6				5039622			
2218.95			2274	2217			2269.7				9876263			
2215			2220	2180			2201.25				9010595			
2244.75			2251.95	2212.7			2223.1				15697554			
2243			2254	2202.2			2225.9				8474595			
2284.1			2298.3	2227.4			2237.05				10027725			
2280			2304.95	2269.05			2275.95				7396699			
2329			2344	2275			2284.5				5894088			
2341.5			2344	2315.05			2322.7				6153681			
2416			2416.9	2355.1			2359.25				7492509			
2408.7			2419	2385			2417.35				7283694			
2400			2424.6	2400			2408.7				4694338			
2349.15			2393.45	2341.55			2385.4				6758115			
2337			2351.65	2321.6			2326.05				4307425			
2344			2345.5	2323.25			2343.9				5330852			
														
														
