363.35			365.75	361.3			365.25				3957106			
358			360.75	355			359.05				4411920			
363			364.05	355.4			356.2				3906548			
361.75			364	359.2			361.25				3113857			
363.35			366.85	361			361.75				3953348			
364.9			364.9	360.35			361.5				4742596			
367.85			370	365.85			366.4				2687423			
369			370.25	365.45			366.4				3605576			
375			375.95	365.15			367.15				4092377			
377.2			378.35	373.85			376.5				4522141			
375.35			376.7	370			372.85				3843310			
383.7			383.7	374.9			375.75				3843963			
386.55			387.15	377.35			379.45				4047426			
389			392.6	383.75			385.45				2991260			
387.9			389.9	386.6			389.1				2283698			
392.8			393.85	389.6			390.1				2078527			
391.65			393	388.85			392.6				2454421			
392.45			396.65	392.1			393.75				3363861			
390.6			391.45	389.1			390.45				2196968			
388.7			390.35	387.3			388.05				2219486			
388.1			391.75	387.3			390.95				2271306			
														
														
														
														
