150.1			153	150.05			151.05				7998472			
147.25			150.85	146.5			149.35				24012834			
150.25			150.25	146.65			147.2				8964539			
149.55			152.45	149.25			150.25				7437261			
152.7			153.2	148.8			149.4				8301726			
151.1			153.15	150.3			152.8				4484564			
152.4			152.8	150.85			151.55				4329409			
153.15			153.75	150.95			151.55				6148489			
153			154.15	151.6			152.3				8749355			
153.5			154.9	151.95			153.15				16593429			
151.2			153.4	148			152.2				18551936			
154			154.45	151.8			152.55				9832270			
155.8			156.85	153.05			153.3				7177342			
156.2			158	155.2			155.8				8785721			
155.6			156.7	154.2			155.8				4689681			
159.05			159.15	156.05			156.3				5314022			
156.55			158.85	156.4			158.25				7339476			
154.7			159.7	153.55			158.2				14491522			
154			155.7	153.45			154.25				8260104			
154.5			155.05	152.65			154.05				8219892			
152			155.1	151.85			154.8				7707977			
