5694			5694	5586.2			5616.75				1267828			
5562.15			5646	5555			5625.2				1109612			
5621.05			5624.4	5522.7			5534.45				948136			
5698			5725	5584.55			5593.05				1118743			
5803.9			5829.75	5627.2			5649.25				1278042			
5809.5			5900	5772.5			5833.05				1054419			
5749.8			5857	5735			5834.2				1242534			
5601.8			5715	5586.15			5710.1				1130114			
5739			5740.45	5485.7			5550.8				1712756			
5740.05			5816.75	5688.1			5732.35				1047151			
5729.7			5755	5665			5715.1				884963			
5800			5820	5701			5718.75				679473			
5840			5850	5716.15			5731.55				1372565			
5869			5947.5	5811			5833.55				793356			
5865			5887.4	5781			5874.15				770861			
6000			6040	5890.1			5901.3				940858			
6129			6129	5985			5996.85				1342795			
6140			6183	6120.05			6134.85				608477			
6121.8			6141	6073			6100.05				712037			
6165.2			6209.6	6070.05			6083				582298			
6100.1			6203.95	6100.1			6154.85				544804			
														
														
