344.9			346.4	340.95			344.3				5068755			
340			342.4	336.3			339.85				2985920			
342			342.9	335.35			339.85				3427158			
344.1			346.9	342.7			344.85				2122963			
347.9			349.75	344			345.4				2937744			
350			351.65	347.5			348.35				2573088			
358.3			359	350.75			351.8				5967027			
360.2			361.6	355.75			358.55				5125281			
354.85			361	350.5			359.65				9246173			
351			354.95	345.45			351.4				11694506			
335			352.75	334.15			350.9				18287315			
329			333.4	327.35			330.3				2755973			
324.2			328.9	321.85			326.2				2947326			
326			326.6	321.25			322.6				1955447			
325			327.9	320.55			326.05				1758519			
326.1			326.9	323.55			324.85				1947766			
323.95			327.45	322.8			326.1				2392531			
322.4			326.5	321.15			324.55				1814962			
322.7			323.9	320.25			321.4				2113101			
316.7			321.85	314.5			321.05				3384360			
316.8			321	315.55			315.9				3495717			
